Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,Risk Level,Preservation Action,Proposed Preservation Plan,Description and Justification,Preferred Processing and Transformation Tool(s)
Compressed ARX file archive,arx,Software and Code,NF00774,,,,,,https://www.wikidata.org/wiki/Q105853859,http://fileformats.archiveteam.org/wiki/ARX,,,,,,High Risk,Retain,Retain,"ARX is a compressed archive utility for DOS, and associated file format. ",DOS
Compressed Dynamic Link Library (DLL),dl_,Software and Code,NF00691,text/plain,https://learn.microsoft.com/en-us/troubleshoot/windows-client/deployment/dynamic-link-library,,,,https://www.wikidata.org/wiki/Q380319,http://fileformats.archiveteam.org/wiki/Dynamic-link_library_(Windows),,https://en.wikipedia.org/wiki/Dynamic-link_library,,,,Moderate Risk,Retain,Retain,A DL_ file is a compressed .DLL file created by the Makecab Windows utility used for compressing files and creating .CAB files. It is often used for storing DLL files on Windows installation CDs. Software installers should not be transformed to avoid affecting functionality.,Microsoft Cabinet Maker (aka Makecab) can decompress the file to plain text.
Computer Graphics Metafile Binary 1,cgm,Digital Still Image,NF00145,image/cgm,https://www.iso.org/standard/32378.html,https://www.nationalarchives.gov.uk/pronom/fmt/303,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q26719966,http://fileformats.archiveteam.org/wiki/CGM,,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile,,https://www.fileformat.info/format/cgm/egff.htm,,Moderate Risk,Retain,Retain,"Computer Graphics Metafile (CGM) is a free and open international standard file format for 2D vector graphics, raster graphics, and text, and is defined by ISO/IEC 8632.",Adobe Illustrator
Computer Graphics Metafile Binary 2,cgm,Digital Still Image,NF00546,image/cgm,https://www.iso.org/standard/32378.html,https://www.nationalarchives.gov.uk/pronom/fmt/304,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q43986525,http://fileformats.archiveteam.org/wiki/CGM,,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile,,https://www.fileformat.info/format/cgm/egff.htm,,Moderate Risk,Retain,Retain,"Computer Graphics Metafile (CGM) is a free and open international standard file format for 2D vector graphics, raster graphics, and text, and is defined by ISO/IEC 8632.",Adobe Illustrator
Computer Graphics Metafile Binary 3,cgm,Digital Still Image,NF00547,image/cgm,https://www.iso.org/standard/32378.html,https://www.nationalarchives.gov.uk/pronom/fmt/305,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q26719970,http://fileformats.archiveteam.org/wiki/CGM,,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile,,https://www.fileformat.info/format/cgm/egff.htm,,Moderate Risk,Retain,Retain,"Computer Graphics Metafile (CGM) is a free and open international standard file format for 2D vector graphics, raster graphics, and text, and is defined by ISO/IEC 8632.",Adobe Illustrator
Computer Graphics Metafile Binary 4,cgm,Digital Still Image,NF00548,image/cgm,https://www.iso.org/standard/32378.html,https://www.nationalarchives.gov.uk/pronom/fmt/306,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q26719973,http://fileformats.archiveteam.org/wiki/CGM,,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile,,https://www.fileformat.info/format/cgm/egff.htm,,Moderate Risk,Retain,Retain,"Computer Graphics Metafile (CGM) is a free and open international standard file format for 2D vector graphics, raster graphics, and text, and is defined by ISO/IEC 8632.",Adobe Illustrator
Computer Graphics Metafile Binary unspecified version,cgm,Digital Still Image,NF00783,image/cgm,https://www.iso.org/standard/32378.html,,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q1122267,http://fileformats.archiveteam.org/wiki/CGM,,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile,,https://www.fileformat.info/format/cgm/egff.htm,A number of CGM files in NARA's holdings have only been identified by their extensions. NF00783 is currently a catch-all for these.,Moderate Risk,Identify Version,Retain,"Computer Graphics Metafile (CGM) is a free and open international standard file format for 2D vector graphics, raster graphics, and text, and is defined by ISO/IEC 8632.",Adobe Illustrator
Configuration File,ini|conf|cnf|cfg|cf,Software and Code,NF00146,text/x-ini|text/plain,,https://www.nationalarchives.gov.uk/pronom/x-fmt/421,,,https://www.wikidata.org/wiki/Q1141412,http://fileformats.archiveteam.org/wiki/INI,,https://en.wikipedia.org/wiki/INI_file,,,,Moderate Risk,Retain,Retain,"Configuration files (commonly known as config files) are plain text files used to configure the parameters and initial settings for some computer programs. They are used for user applications, server processes and operating system settings. A number of general-purpose serialization formats exist that can represent complex data structures in an easily stored format, and these are often used as a basis for configuration files, such as XML, TOML, YAML and JSON. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",This is such a ubiquitous extension that there is no way to narrow down the format without additional characterization. Case-by-case review is required.
Corel CMX Compressed,cpx,Digital Design and Vector Graphics,NF00148,,,https://www.nationalarchives.gov.uk/pronom/x-fmt/36,,,https://www.wikidata.org/wiki/Q59820886,http://fileformats.archiveteam.org/wiki/CorelDRAW,,https://en.wikipedia.org/wiki/CorelDRAW,,,,High Risk,Transform,"Transform to a TBD format, possibly PDF",The file format is proprietary with limited open or available documentation. It may not be possible to transform this format into anything other than static image or PDF files.,Further research is required
Corel Print House version 5,cpd|cph|cpo,Presentation and Publishing,NF00701,,,https://www.nationalarchives.gov.uk/pronom/fmt/1421,,,https://www.wikidata.org/wiki/Q100343334,http://fileformats.archiveteam.org/wiki/Corel_Print_House,,,,https://www.file-extension.org/extensions/cpd,Currently unknown what version(s) of this format are in NARA's holdings. Additional entries for other versions of this file format may be necessary at a later time.,High Risk,Transform,Transform to a TBD format,"Corel Print House is a discontinued desktop publishing application. Corel Custom Photo was a set of CD-ROM's released in 1999 which included Corel Photo House 5 and Corel Project Designer 5, which seems to be a rebranded version of Corel Print House. File extension is .CPD, but format is identical to Print House formats.",CorelDRAW or Corel Print Office can reportedly open a cpd file. Print Office documentation says that the file extension must be changed to .cpo.
