NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),Is the format proprietary?,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification?,Has the specification been approved and published by an internationally recognized standards body?,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available?,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect significant properties?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files?,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption?,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking?,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score,Risk/Sustainability Factor Status,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
,,3.00,Moderate Risk,NF00152,db file: Paradox; Oracle; dBASE IV; dbvista; dBFast; XTreeGold; XoftSpySE,db,Databases,0,0,0,0,0,0,2,2,0,0,-1,3,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,,-4,,-4,-8,3.00,Moderate Risk,0.010,-5,5,3
,,24.00,Low Risk,NF00154,dBase Index File,ndx|mdx,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1983,-4,1997,-4,-8,24.00,Low Risk,0.000,-5,-3,16
,,1.00,Moderate Risk,NF00155,dBASE or FoxBASE+Text Memo,dbt,Databases,-1,-1,-1,0,0,-3,0,2,-1,0,-1,0,1,0,0,-1,1,1,0,2,1,0,0,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,1984,-4,2012,-2,-6,1.00,Moderate Risk,0.000,-5,-3,-7
,,26.00,Low Risk,NF00551,dBase Table for Windows 5,dbf,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1994,-4,2012,-2,-6,26.00,Low Risk,0.000,-5,3,24
,,24.00,Low Risk,NF00153,dBase Table II,dbf|db2,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1983,-4,1997,-4,-8,24.00,Low Risk,0.000,-5,3,22
,,26.00,Low Risk,NF00552,dBase Table III,dbf|db3,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1984,-4,2012,-2,-6,26.00,Low Risk,0.004,-5,3,24
,,26.00,Low Risk,NF00553,dBase Table III+,dbf,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1985,-4,2012,-2,-6,26.00,Low Risk,0.000,-5,3,24
,,26.00,Low Risk,NF00554,dBase Table IV,dbf,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1988,-4,2012,-2,-6,26.00,Low Risk,0.000,-5,3,24
,,26.00,Low Risk,NF00784,dBase Table unspecified version,dbf,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1983,-4,2012,-2,-6,26.00,Low Risk,0.001,-5,3,24
,,26.00,Low Risk,NF00555,dBase Table V,dbf,Databases,-1,2,2,-2,2,3,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,0,0,0,4,1995,-4,2012,-2,-6,26.00,Low Risk,0.000,-5,3,24
,,22.00,Moderate Risk,NF00738,Design rule for Camera File system (DCF) Thumbnail File,thm,Digital Still Image,2,2,0,2,2,8,0,0,2,2,-1,3,-1,1,0,1,1,0,-1,1,1,1,1,2,2,7,2,2,4,1,0,1,1,3,1,0,0,1,2,-1,2,0,-1,0,0,1998,-4,2010,-2,-6,22.00,Moderate Risk,0.000,-5,3,20
,,-29.00,High Risk,NF00157,DesignCAD Drawing,dc|dc2,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,0,0,-1,2,-1,0,-1,-1,-1,-1,-1,0,0,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,0,0,0,0,0,0,0,0,1987,-4,2001,-4,-8,-29.00,High Risk,0.000,-5,-5,-39
,,-27.00,High Risk,NF00479,DesignCAD for Windows Drawing,dw2,Digital Design and Vector Graphics,-1,-1,0,-2,-1,-5,0,0,-1,2,-1,0,-1,-1,-1,-1,-1,0,0,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,0,0,0,0,0,0,0,0,1996,-4,2013,-2,-6,-27.00,High Risk,0.000,-5,-5,-37
,,1.00,Moderate Risk,NF00158,Dictionary Lexicon File,lex,Software and Code,0,-1,0,-2,0,-3,0,0,2,2,2,6,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,1.00,Moderate Risk,0.001,-5,5,1
,,28.00,Low Risk,NF00462,Digital Cinema Package (DCP),dcp,Digital Cinema,2,2,2,2,2,10,0,2,2,2,2,8,1,1,0,1,1,0,0,4,1,1,1,0,2,5,2,2,4,1,1,1,-2,1,1,0,1,1,3,-1,0,-1,-1,0,-3,2005,-4,2018,0,-4,28.00,Low Risk,0.000,-5,5,28
,,2.00,Moderate Risk,NF00156,Digital Equipment Corp (DEC) WPS Plus,dx|wpl,Textual and Word Processing,2,-1,2,-2,-1,0,0,0,-1,0,-1,-2,0,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-5,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,2,2,10,,-4,,-4,-8,2.00,Moderate Risk,0.000,-5,3,0
,,29.00,Low Risk,NF00161,Digital Negative Format 1.0,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2004,-4,2019,0,-4,29.00,Low Risk,0.000,-5,5,29
,,29.00,Low Risk,NF00480,Digital Negative Format 1.1,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2005,-4,2019,0,-4,29.00,Low Risk,0.000,-5,5,29
,,31.00,Low Risk,NF00481,Digital Negative Format 1.2,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2008,-2,2019,0,-2,31.00,Low Risk,0.000,-5,5,31
,,31.00,Low Risk,NF00482,Digital Negative Format 1.3,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2009,-2,2019,0,-2,31.00,Low Risk,0.000,-5,5,31
,X,31.00,Low Risk,NF00483,Digital Negative Format 1.4,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2012,-2,2019,0,-2,31.00,Low Risk,0.000,-5,5,31
,,29.00,Low Risk,NF00763,Digital Negative Format unspecified version,dng,Digital Still Image,-1,2,0,-2,2,1,2,2,2,2,0,8,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2004,-4,2019,0,-4,29.00,Low Risk,0.002,-5,5,29
X,,33.00,Low Risk,NF00160,Digital Picture Exchange (DPX),dpx,Digital Cinema,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,-2,-2,-2,1,1,0,-1,1,0,2,0,2,0,4,1994,-4,2003,-4,-8,33.00,Low Risk,0.016,-5,5,33
,,14.00,Moderate Risk,NF00164,Drawing Interchange File Format ASCII 2004/2005/2006,dxf,Digital Design and Vector Graphics,-1,2,2,0,0,3,0,0,2,2,2,6,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,0,0,0,1,1,2,2,2,0,-1,5,2003,-4,2005,-4,-8,14.00,Moderate Risk,0.000,-5,5,14
,,18.00,Moderate Risk,NF00163,Drawing Interchange File Format ASCII 2011-2012,dxf,Digital Design and Vector Graphics,-1,2,2,0,0,3,0,0,2,2,2,6,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,0,0,0,1,1,2,2,2,0,-1,5,2010,-2,2011,-2,-4,18.00,Moderate Risk,0.000,-5,5,18
,,14.00,Moderate Risk,NF00165,Drawing Interchange File Format ASCII Generic,dxf,Digital Design and Vector Graphics,-1,2,2,0,0,3,0,0,2,2,2,6,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,0,0,0,1,1,2,2,2,0,-1,5,1982,-4,,-4,-8,14.00,Moderate Risk,0.000,-5,5,14
,,6.00,Moderate Risk,NF00166,DVD Data Backup File,bup,Software and Code,2,2,2,2,2,10,0,2,2,2,-1,5,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,6,6,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,6.00,Moderate Risk,0.001,-5,5,6
,,-1.00,Moderate Risk,NF00167,DVD Data File,dvd,Software and Code,2,2,2,2,2,10,0,2,2,2,-1,5,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,-1.00,Moderate Risk,0.000,-5,5,-1
,,-1.00,Moderate Risk,NF00168,DVD Info File,ifo,Software and Code,2,2,2,2,2,10,0,2,2,2,-1,5,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,-6,-1.00,Moderate Risk,0.001,-5,5,-1
X,,34.00,Low Risk,NF00794,E57 Lidar Point Cloud Format,e57,Geospatial|Digital Design and Vector Graphics,2,2,2,2,2,10,0,2,2,2,0,6,-1,1,0,-1,1,-1,0,-1,1,1,1,0,2,5,2,2,4,-2,1,1,-2,-2,1,1,1,1,4,2,2,2,2,2,10,2011,-2,2019,0,-2,34.00,Low Risk,0.000,-5,5,34
X,,29.00,Low Risk,NF00170,Electronic Mail Format,eml,Email,2,-1,2,-2,-1,0,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,2,-1,-1,2,1,1982,-4,2013,-2,-6,29.00,Low Risk,38.812,-15,5,19
X,,25.00,Low Risk,NF00637,Electronic Navigational Chart,0xx,Navigational Charts,2,2,0,2,2,8,2,2,2,2,2,10,-1,0,0,0,1,1,0,1,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,0,0,0,1,1,0,2,0,0,0,2,2000,-4,2014,-2,-6,25.00,Low Risk,0.000,-5,5,25
,,25.00,Low Risk,NF00171,Encapsulated PostScript File Format 1.2,eps,Presentation and Publishing,-1,2,2,-2,2,3,0,2,-1,2,2,5,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1985,-4,1992,-4,-8,25.00,Low Risk,0.000,-5,3,23
,,25.00,Low Risk,NF00484,Encapsulated PostScript File Format 2,eps,Presentation and Publishing,-1,2,2,-2,2,3,0,2,-1,2,2,5,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1989,-4,1992,-4,-8,25.00,Low Risk,0.000,-5,3,23
,,25.00,Low Risk,NF00485,Encapsulated PostScript File Format 3,eps,Presentation and Publishing,-1,2,2,-2,2,3,0,2,-1,2,2,5,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1992,-4,1992,-4,-8,25.00,Low Risk,0.000,-5,3,23
,,27.00,Low Risk,NF00653,Encapsulated PostScript File Format unspecified version,eps,Presentation and Publishing,-1,2,2,-2,2,3,2,2,-1,2,2,7,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1985,-4,,-4,-8,27.00,Low Risk,0.041,-5,3,25
,,28.00,Low Risk,NF00172,EndNote Import File,enw|enr,Textual and Word Processing,-1,2,2,-2,2,3,0,2,2,2,-2,4,1,1,1,0,1,1,1,6,1,0,0,-1,2,2,2,2,4,1,1,1,1,4,0,0,1,0,1,2,2,2,2,0,8,1995,-4,2019,0,-4,28.00,Low Risk,0.000,-5,3,26
,,4.00,Moderate Risk,NF00258,Enhanced Metafile 1.0,emf|emz,Digital Design and Vector Graphics|Digital Still Image,-1,2,2,-2,2,3,0,2,2,2,-1,5,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,-1,0,-1,2007,-4,2017,-2,-6,4.00,Moderate Risk,0.000,-5,3,2
,,4.00,Moderate Risk,NF00500,Enhanced Metafile 2.0,emf|emz,Digital Design and Vector Graphics|Digital Still Image,-1,2,2,-2,2,3,0,2,2,2,-1,5,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,-1,0,-1,2007,-4,2017,-2,-6,4.00,Moderate Risk,0.000,-5,3,2
,,4.00,Moderate Risk,NF00501,Enhanced Metafile 3.0,emf|emz,Digital Design and Vector Graphics|Digital Still Image,-1,2,2,-2,2,3,0,2,2,2,-1,5,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,-1,0,-1,2007,-4,2017,-2,-6,4.00,Moderate Risk,0.000,-5,3,2
,,4.00,Moderate Risk,NF00768,Enhanced Metafile unspecified version,emf|emz,Digital Design and Vector Graphics|Digital Still Image,-1,2,2,-2,2,3,2,2,2,2,-1,7,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,-1,0,-1,2007,-4,,-4,-8,4.00,Moderate Risk,0.001,-5,3,2
,,28.00,Low Risk,NF00556,ePub ebook,epub,Presentation and Publishing,2,2,2,2,2,10,0,2,2,2,2,8,1,0,1,1,1,0,0,4,1,1,1,2,2,7,2,2,4,1,1,1,-2,1,1,0,0,1,2,0,0,0,-1,-1,-2,1999,-4,2017,-2,-6,28.00,Low Risk,0.000,-5,5,28
,X,0.00,Moderate Risk,NF00173,ESRI ArcInfo Interchange File Format,e00,Geospatial,-1,-1,-1,-2,-1,-6,0,0,0,2,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,0,-2,2,2,4,1,-2,1,1,1,-1,-1,0,-1,-3,2,2,2,2,2,10,2005,-4,2011,-2,-6,0.00,Moderate Risk,0.000,-5,3,-2
,,3.00,Moderate Risk,NF00836,ESRI File Geodatabase,gdb,Geospatial,-1,-1,-1,-2,-1,-6,0,2,2,2,2,8,-1,-1,1,-1,1,-1,1,-1,1,1,1,2,2,7,2,2,4,-2,-2,1,-2,-5,-1,-1,0,-1,-3,2,2,2,-1,2,7,2006,-4,,-4,-8,3.00,Moderate Risk,0.000,-5,3,1
,,7.00,Moderate Risk,NF00557,ESRI Shapefile (Arc/View Shapefile Index),shx,Geospatial,-1,2,-1,-2,2,0,2,2,0,2,2,8,-1,1,1,-1,1,1,0,2,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,7.00,Moderate Risk,0.004,-5,5,7
,,5.00,Moderate Risk,NF00558,ESRI Shapefile (dBASE Table for ESRI Shapefile),dbf,Geospatial,-1,2,-1,-2,2,0,0,2,0,2,2,6,-1,1,1,-1,1,1,0,2,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,5.00,Moderate Risk,0.001,-5,3,3
,,5.00,Moderate Risk,NF00559,ESRI Shapefile (ESRI Header Index),prj,Geospatial,-1,2,-1,-2,2,0,0,2,0,2,2,6,-1,1,1,-1,1,1,0,2,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,5.00,Moderate Risk,0.000,-5,5,5
,,5.00,Moderate Risk,NF00560,ESRI Shapefile (ESRI Spatial Index File),sbx|sbn,Geospatial,-1,2,-1,-2,2,0,0,2,0,2,2,6,-1,1,1,-1,1,1,0,2,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,5.00,Moderate Risk,0.000,-5,5,5
,X,6.00,Moderate Risk,NF00174,ESRI Shapefile Compound File,shp|sbn|dbf|prj|shx|sbx,Geospatial,-1,2,-1,-2,2,0,2,2,0,2,2,8,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,6.00,Moderate Risk,0.001,-5,5,6
,,6.00,Moderate Risk,NF00175,ESRI World File,wld|blw|bpw|bqw|gfw|tfw|pgw,Geospatial,-1,2,-1,-2,2,0,0,2,0,2,2,6,-1,1,1,-1,1,1,1,3,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,2,2,2,2,10,1998,-4,1998,-4,-8,6.00,Moderate Risk,0.000,-5,5,6
,,34.00,Low Risk,NF00176,Exchangeable Image File Format Audio 2.2,wav,Digital Audio,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,2005,-4,2014,-2,-6,34.00,Low Risk,0.002,-5,5,34
,,32.00,Low Risk,NF00177,Exchangeable Image File Format Compressed 2.0,jpg|jpeg,Digital Still Image,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,1997,-4,1997,-4,-8,32.00,Low Risk,0.000,-5,5,32
,,34.00,Low Risk,NF00178,Exchangeable Image File Format Compressed 2.1,jpg|jpeg,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,1998,-4,1998,-4,-8,34.00,Low Risk,0.004,-5,5,34
,,34.00,Low Risk,NF00179,Exchangeable Image File Format Compressed 2.2,jpg|jpeg,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,2002,-4,2002,-4,-8,34.00,Low Risk,0.004,-5,5,34
,,34.00,Low Risk,NF00828,Exchangeable Image File Format Compressed 2.21,jpg|jpeg,Digital Still Image,2,2,2,2,0,8,2,2,2,2,2,10,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,2003,-4,2009,-2,-6,34.00,Low Risk,0.000,-5,5,34
,,40.00,Low Risk,NF00829,Exchangeable Image File Format Compressed 2.3.x,jpg|jpeg,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,-1,0,3,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,2010,-2,2019,0,-2,40.00,Low Risk,0.000,-5,5,40
,,34.00,Low Risk,NF00180,Exchangeable Image File Format Uncompressed 2.1,tif|tiff,Digital Still Image,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,1998,-4,1998,-4,-8,34.00,Low Risk,0.000,-5,5,34
,,34.00,Low Risk,NF00181,Exchangeable Image File Format Uncompressed 2.2,tif|tiff,Digital Still Image,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,2,0,0,0,2,2002,-4,2002,-4,-8,34.00,Low Risk,0.000,-5,5,34
,,5.00,Moderate Risk,NF00758,Executable and Linkable Format 32-bit Big Endian,o|elf,Software and Code,2,2,2,0,2,8,0,2,2,-1,1,4,-1,1,0,1,1,-1,0,1,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,-1,0,-1,1999,-4,2009,-2,-6,5.00,Moderate Risk,0.000,-5,5,5
,,5.00,Moderate Risk,NF00759,Executable and Linkable Format 32-bit Little Endian,o|elf,Software and Code,2,2,2,0,2,8,0,2,2,-1,1,4,-1,1,0,1,1,-1,0,1,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,-1,0,-1,1999,-4,2009,-2,-6,5.00,Moderate Risk,0.000,-5,5,5
,,5.00,Moderate Risk,NF00760,Executable and Linkable Format 64-bit Big Endian,o|elf,Software and Code,2,2,2,0,2,8,0,2,2,-1,1,4,-1,1,0,1,1,-1,0,1,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,-1,0,-1,1999,-4,2009,-2,-6,5.00,Moderate Risk,0.000,-5,5,5
,,5.00,Moderate Risk,NF00761,Executable and Linkable Format 64-bit Little Endian,o|elf,Software and Code,2,2,2,0,2,8,0,2,2,-1,1,4,-1,1,0,1,1,-1,0,1,0,1,1,0,0,2,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,0,0,0,-1,0,-1,1999,-4,2009,-2,-6,5.00,Moderate Risk,0.000,-5,5,5
,,-26.00,High Risk,NF00182,Executable file,exe,Software and Code,-1,-1,-1,-2,-1,-6,2,0,-1,0,-1,0,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,-1,-1,-1,0,-1,-1,2,-1,1982,-4,1985,-4,-8,-26.00,High Risk,0.003,-5,5,-26
,X,10.00,Moderate Risk,NF00183,Extended Binary Coded Decimal Interchange Code (EBCDIC),ebcdic,Structured Data,2,2,2,-2,0,4,0,0,-1,-1,-1,-3,1,1,1,0,0,1,1,5,1,1,1,-1,2,4,2,2,4,-2,1,-2,-2,-5,1,1,0,-1,1,2,2,0,2,2,8,1963,-4,1986,-4,-8,10.00,Moderate Risk,0.001,-5,5,10
X,,31.00,Low Risk,NF00184,Extensible 3D (X3D) XML 3.0,x3d|x3dz,Digital Design and Vector Graphics,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,-1,5,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,1,1,1,1,4,2,2,-1,0,0,3,2004,-4,2007,-4,-8,31.00,Low Risk,0.000,-5,5,31
X,,31.00,Low Risk,NF00486,Extensible 3D (X3D) XML 3.1,x3d|x3dz,Digital Design and Vector Graphics,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,-1,5,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,1,1,1,1,4,2,2,-1,0,0,3,2004,-4,2007,-4,-8,31.00,Low Risk,0.000,-5,5,31
X,,31.00,Low Risk,NF00487,Extensible 3D (X3D) XML 3.2,x3d|x3dz,Digital Design and Vector Graphics,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,-1,5,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,1,1,1,1,4,2,2,-1,0,0,3,2004,-4,2007,-4,-8,31.00,Low Risk,0.000,-5,5,31
,,31.00,Low Risk,NF00686,Extensible Forms Description Language (XFDL),xfdl,Web Records|Software and Code|Structured Data|Textual and Word Processing,2,2,2,2,2,10,0,0,2,2,-1,3,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,0,0,1,2,0,2,0,0,0,2,1998,-4,1998,-4,-8,31.00,Low Risk,0.000,-5,5,31
